"","PlotID","TaxonID","Freq"
"1","Gregory","Abies",2
"2","Gregory","Ailanthus",1
"3","Gregory","Aspicllum",1
"4","Gregory","Atragene",1
"5","Gregory","Bangia",1
"6","Gregory","Begonia",1
"7","Gregory","Berberis",1
"8","Gregory","Betula",1
"9","Gregory","Blasia",3
"10","Gregory","Blechnum",1
"11","Gregory","Caulerpa",1
"12","Gregory","Ceratophyllum",1
"13","Gregory","Chenopodium",1
"14","Gregory","Clematis",1
"15","Gregory","Cocculus",1
"16","Gregory","Corallorrhiza",1
"17","Gregory","Corchorus",1
"18","Gregory","Cucurbita",1
"19","Gregory","Dahlia",1
"20","Gregory","Dioscorea",1
"21","Gregory","Dracaena",1
"22","Gregory","Equisetum",2
"23","Gregory","Euonymus",1
"24","Gregory","Euphorbia",1
"25","Gregory","Fagus",1
"26","Gregory","Ficus",1
"27","Gregory","Fontinalis",1
"28","Gregory","Fossombronia",1
"29","Gregory","Fritillaria",2
"30","Gregory","Fucus",1
"31","Gregory","Gleditschia",1
"32","Gregory","Gleocapsa",1
"33","Gregory","Haplomitrium",1
"34","Gregory","Hedera",1
"35","Gregory","Helianthus",1
"36","Gregory","Heterocentron",1
"37","Gregory","Hippuris",2
"38","Gregory","Hypoderma",1
"39","Gregory","Isoetes",1
"40","Gregory","Lamella",1
"41","Gregory","Linum",1
"42","Gregory","Liquidambar",1
"43","Gregory","Marchantia",2
"44","Gregory","Momordica",1
"45","Gregory","Monopodium",1
"46","Gregory","Mucor",1
"47","Gregory","Nerium",1
"48","Gregory","Nitella",1
"49","Gregory","Osmunda",1
"50","Gregory","Pandanus",1
"51","Gregory","Papaver",1
"52","Gregory","Pelargonium",1
"53","Gregory","Phlomis",1
"54","Gregory","Phytolacca",2
"55","Gregory","Pinus",1
"56","Gregory","Platanus",1
"57","Gregory","Polytrichum",1
"58","Gregory","Populus",1
"59","Gregory","Potamogeton",1
"60","Gregory","Punctum",1
"61","Gregory","Quercus",1
"62","Gregory","Ricinus",1
"63","Gregory","Rubus",1
"64","Gregory","Salix",1
"65","Gregory","Sambucus",1
"66","Gregory","Sclerotium",1
"67","Gregory","Selaginella",1
"68","Gregory","Sempervivum",1
"69","Gregory","Sponia",1
"70","Gregory","Stypocaulon",2
"71","Gregory","Sympodium",1
"72","Gregory","Taxodium",2
"73","Gregory","Tecoma",2
"74","Gregory","Tradescantia",2
"75","Gregory","Urtica",1
"76","Gregory","Viola",1
"77","Gregory","Vitis",1
"78","Gregory","Wisteria",1
"79","Gregory","Yucca",1
