List,Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Callahan,Brassicaceae,Brassica,Brassica oleracea,,"Brassicas (canola, cabbage)"
Callahan,Theaceae,Camellia,Camellia sinensis,,Tea
Callahan,Cannabaceae,Cannabis,Cannabis sativa,,Cannabis(/Hemp)
Callahan,Rubiaceae,Coffea,Coffea arabica,,Coffee
Callahan,Arecaceae,Elaeis,Elaeis guineensis,,Oil Palm
Callahan,Solanaceae,Nicotiana,Nicotiana tabacum,,Tobacco
Callahan,Poaceae,Saccharum,Saccharum officinarum,,Sugar cane
Callahan,Solanaceae,Solanum,Solanum lycopersicum,,Tomato
Callahan,Solanaceae,Solanum,Solanum tuberosum,,Potato
Callahan,Poaceae,Triticum,Triticum aestivum,,Wheat
Callahan,Vitaceae,Vitis,Vitis vinifera,,Grape
Callahan,Poaceae,Zea,Zea mays,,Corn
Callahan,Liliaceae,Tulipa,Tulipa gesneriana,,Tulip
Callahan,Rutaceae,Citrus,Citrus limon,,Citrus
Callahan,Poaceae,Bambuseae,Bambusa affinis,,Bamboo
Callahan,Malvaceae,Gossypium,Gossypium hirsutum,,Cotton
Callahan,Papaveraceae,Papaver,Papaver somniferum,,Poppies
Callahan,Poaceae,Poa,Poa pratensis,,Prairie grass/ bluegrass
Callahan,Fabaceae,Glycine,Glycine max,,Soybean
Callahan,Poaceae,Oryza,Oryza sativa,,Rice
Callahan,Piperaceae,Piper,Piper nigrum,,Black pepper
Callahan,Rosaceae,Rosa,Rosa rugosa,,Roses
Callahan,Pinaceae,Pinus,Pinus strobus,,Pine tree
Callahan,Musaceae,Musa,Musa acuminata,,Banana/plantain
Callahan,Moraceae,Ficus,Ficus carica,,Figs
Callahan,Convolvulaceae,Ipomoea,Ipomoea batatas,,Sweet potato
Callahan,Euphorbiaceae,Manihot,Manihot esculenta,,Cassava
Callahan,Poaceae,Sorghum,Sorghum bicolor,,Sorghum
Callahan,Fagaceae,Quercus,Quercus rubra,,Oak tree
Callahan,Sapindaceae,Acer,Acer saccharum,,Maple tree (sugar maple)
Callahan,Nymphaeaceae,Nymphaea,Nymphaea aquatica,,Lilypad/waterlilies
Callahan,Oleaceae,Olea,Olea europaea,,Olive
Callahan,Salicaceae,Salix,Salix alba,,Salix (aspirin)/Willow
Callahan,Lauraceae,Cinnamomum,Cinnamomum camphor,,Cinnamon
Callahan,Ericaceae,Vaccinium,Vaccinium corymbosum,,Blueberry
Callahan,Orchidaceae,Vanilla,Vanilla planifolia,,Vanilla
Callahan,Brassicaceae,Arabidopsis,Arabidopsis thaliana,,Arabidopsis
Callahan,Asteraceae,Artemisia,Artemisia annua,,Artemis annua (sweet wormwood)
Callahan,Rosaceae,Fragaria,Fragaria virginiana,,Strawberry
Callahan,Ginkgoceae,Ginkgo,Ginkgo biloba,,Gingko
Callahan,Aquifoliaceae,Ilex,Ilex paraguariensis,,Mate
Callahan,Juglandaceae,Juglans,Juglans nigra,,Walnut
Callahan,Magnoliaceae,Magnolia,Magnolia virginiana,,Magnolia
Callahan,Poaceae,Panicum,Panicum virgatum,,Swtichgrass
Callahan,Pedaliaceae,Sesamum,Sesamum indicum,,Sesame
Callahan,Solanaceae,Solanum,Solanum melongena,,Eggplant
Callahan,Anacardiaceae,Toxicondendron,Toxicondendron radicans,,Poison ivy
Callahan,Ericaceae,Vaccinium,Vaccinium microcarpum,,Cranberry
Callahan,Zingiberaceae,Zingiber,Zingiber officinale,,Ginger
